72,100,100,100,29,270,264,170,244,244,244,244,244,244,244,244,244,244,244,169,268,268,268,268,170,244,244,244,169,268,268,269,270,24,100,77,270,270,270,270
72,100,140,100,29,270,270,264,170,244,244,244,244,244,244,244,244,244,244,197,270,270,270,270,264,268,268,268,269,270,270,270,270,24,100,77,126,270,270,270
72,100,100,100,29,270,270,235,264,170,244,244,244,244,244,244,244,244,244,197,270,270,270,270,270,270,270,270,270,163,164,165,166,24,100,77,270,270,270,270
120,26,100,25,125,270,270,270,270,264,268,170,244,244,244,244,244,244,244,221,270,0,1,1,1,1,1,5,270,187,188,189,190,24,100,77,270,270,270,270
270,72,41,77,270,270,270,270,270,270,270,264,266,267,268,170,244,244,244,245,270,24,41,41,41,41,41,77,270,211,212,213,214,48,100,77,270,270,270,270
270,72,41,101,270,270,270,270,270,270,270,270,270,270,270,264,266,267,268,269,270,24,41,41,41,41,41,101,270,235,236,237,270,72,100,77,270,270,270,270
270,72,41,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,100,100,100,100,100,49,1,1,2,3,4,50,100,77,270,270,270,270
270,96,100,100,287,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,65,100,100,100,100,287,100,100,100,100,100,100,100,100,100,101,270,270,270,270
270,120,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,122,123,124,124,124,123,124,124,125,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
